source_id,title,organization,source_type,landing_url,pdf_url,priority_tier,ingestion_method,status,last_reviewed
amfi-amfi-circular-3,AMFI Circular: Registration of MFDs for SIFs,AMFI,AMFI Circular,amfiindia.com/Themes/Theme1/downloads/circulars/AMFICircular_ARN29_31Jul2025.pdf,amfiindia.com/Themes/Theme1/downloads/circulars/AMFICircular_ARN29_31Jul2025.pdf,2,direct_download,active,2026-06-04
tata-mutual-fund-isid,Tata Titanium Hybrid Long-Short Fund ISID,Tata Mutual Fund,ISID,tatamutualfund.com/titanium-sif/titanium-hybrid-long-short-fund,,3,playwright_scrape,active,2026-06-04
edelweiss-mutual-fund-kim,Edelweiss Altiva Equity Ex-Top 100 KIM,Edelweiss Mutual Fund,KIM,edelweissmf.com/altivasif/nfo/altiva-equity-ex-top-100-long-short-fund,,3,playwright_scrape,active,2026-06-04
sbi-mutual-fund-amc-website-2,SBI Magnum SIF General Information,SBI Mutual Fund,AMC Website,sbimf.com/magnumsif,,5,playwright_scrape,active,2026-06-04
quant-mutual-fund-isid,Quant qSIF Sector Rotation Long-Short ISID,Quant Mutual Fund,ISID,qsif.com/Admin/SIDPdf/ISID_qsif_Sector_Rotation_Long-Short_Fund.pdf,qsif.com/Admin/SIDPdf/ISID_qsif_Sector_Rotation_Long-Short_Fund.pdf,3,direct_download,active,2026-06-04
quant-mutual-fund-factsheet,Quant qSIF Factsheet (May 2026),Quant Mutual Fund,Factsheet,qsif.com/Admin/Factsheet/qsif_Factsheet_May_2026.pdf,qsif.com/Admin/Factsheet/qsif_Factsheet_May_2026.pdf,4,direct_download,active,2026-06-04
icici-prudential-amc-kim-1,ICICI Pru iSIF Equity Ex-Top 100 KIM,ICICI Prudential AMC,KIM,icicipruamc.com/blob/sif/downloads/Launch_KIM_iSIF_Equity_Ex-Top_100.pdf,icicipruamc.com/blob/sif/downloads/Launch_KIM_iSIF_Equity_Ex-Top_100.pdf,3,direct_download,active,2026-06-04
hsbc-mutual-fund-faq-1,HSBC RedHex SIF FAQ,HSBC Mutual Fund,FAQ,assetmanagement.hsbc.co.in/-/media/Files/attachments/india/redhex-sif/faqs-redhex-sif-by-hsbc-mf.pdf,assetmanagement.hsbc.co.in/-/media/Files/attachments/india/redhex-sif/faqs-redhex-sif-by-hsbc-mf.pdf,5,direct_download,active,2026-06-04
360-one-mutual-fund-kim,360 ONE DynaSIF Equity Long-Short ISID,360 ONE Mutual Fund,KIM,iiflmf.com/sites/mf/files/2023-10/360ONE-Focused-Equity-Fund-KIM.pdf,iiflmf.com/sites/mf/files/2023-10/360ONE-Focused-Equity-Fund-KIM.pdf,3,direct_download,active,2026-06-04
dsp-mutual-fund-amc-website-2,DSP Endurance SIF Philosophy,DSP Mutual Fund,AMC Website,dspim.com/endurance-sif/,,5,playwright_scrape,active,2026-06-04
mirae-asset-mutual-fund-amc-website-2,Mirae Platinum Hybrid Long-Short NFO,Mirae Asset Mutual Fund,AMC Website,platinumsif.miraeassetmf.co.in/fund?schemeCode=3166,,5,playwright_scrape,active,2026-06-04
